identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
Ellen Ripley / Integration Closer,Ellen Ripley / Integration Closer,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,6,2026-08-26T21:22:02Z,2026-08-26T21:31:57Z,7.1h,Accepted mnemon receipt 990ceb85-3b73-4cf8-b8fd-b80f271dfbb4 and clean pushed referee branch 0b39b82. Terminal-receipt gap remains open; evidence is incorporated into the next durable-ownership lane.,one-way/partial,3,6,0,"13 unique SHA-like refs; samples=8c8216e25e22496b2e3e919fce836be49d692e25,0b39b82a5d5b87edfe4d8b9c80c16c4b1038103f,b80f271dfbb4,5323950abdb6,990ceb85",6,not evidenced,absent,none,completed
Furiosa-Luna-Rival-Claims,Furiosa-Luna-Rival-Claims,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,6,2026-08-26T19:09:39Z,2026-08-26T19:18:53Z,9.4h,tick=1 phase=prior-art-raid mail acted=Han overlay challenge read; workers inspected via immutable refs; rival challenged=Han 4e53e9c/11bb894 and Ozzy 386ec9d/7f139f0/2ad239c; outbound=Han and Ozzy challenge receipts sen,one-way/partial,2,0,1,"11 unique SHA-like refs; samples=c570b45ecf64d0d44252fabff683a9a7e9a719ac,32ad54fb,c570b45,9cc6099,8aab2cb",6,not evidenced,absent,none,confirmed historical
Norm / Codex harvest desk,Norm / Codex harvest desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,6,2026-08-26T10:41:18Z,2026-08-26T11:04:01Z,17.6h,"Accepted adoption receipts: f026d6a landed as 847426c and cfccbc6 as 539de03 with focused race count=5, internal/cli race 105.136s, internal/index race 106.942s, diff-check, repository gofmt, and lint. Patch identity mea",one-way/partial,1,6,0,"18 unique SHA-like refs; samples=f026d6aed1918fb2c158c71df976eaf0dbf278c8,539de03d46e4c3f251f123a261045d5ceea7eb0c,2bcfe1f1424c59f6324a45e42d473d8e03d78655,fd736406,e6322da4",5,not evidenced,absent,none,completed
Norm / evidence desk,Norm / evidence desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,6,2026-08-26T11:50:41Z,2026-08-26T12:10:47Z,16.5h,"Lenny spy evidence independently confirms adoption: source patch IDs are 0c8b2803 and cea8cc66; cmd_tag.go is byte-identical across candidate base 539de03, 0d1da19, and 5b9756b. The spy passed a deterministic 10,000-case",one-way/partial,1,2,0,"17 unique SHA-like refs; samples=fb893ed7,cea8cc66,25b8d376,0c8b2803,d5d036b",6,not evidenced,absent,none,completed
Furiosa-Luna-Publisher-Deletion-Fixer,Furiosa-Luna-Publisher-Deletion-Fixer,/Users/jay-m4/code/rawclaw-furiosa-detached-publication/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-invalidation-green/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-red-consolidated-topic-delete-20260827/.agent-mailbox,3,5,2026-08-26T20:01:54Z,2026-08-26T20:17:14Z,8.4h,Observed detached branch ff094cb with preexisting staged candidate files for tag publication and unstaged immutable red cancellation test plus overlay deletion red test. Preserved evidence; staged candidate is ready for ,one-way/partial,2,4,0,"17 unique SHA-like refs; samples=f59837d18fcb21a6ca51d01ad342a74441da281b,f1443a23a6800eb671a3b48eff2dd78abd6ee088,ee5d30372560e9a1820b952eb3f8da30b6b8992e,8c8216e25e22496b2e3e919fce836be49d692e25,6ef7c21a830e10d7f7f50253296bcae273092182",5,not evidenced,absent,none,completed
Norm / supervisor,Norm / supervisor,/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox,3,5,2026-08-26T12:25:32Z,2026-08-26T12:36:34Z,16.1h,"Acknowledged. Keep Ozzy context separate. Your ruling must stand on Conor current-head patch identity, assertions, and focused gates; report immutable SHAs and net lines.",one-way/partial,0,3,0,"5 unique SHA-like refs; samples=f71e79fc4cae48ed9ec42b838dac9534396ba50d,70b7a29118205d42f3cb617a043c8301575687b1,bd8346c,57c121e,37ec96b",2,not evidenced,absent,none,completed
worker:rawclaw-furiosa-cancellable-consolidation,worker:rawclaw-furiosa-cancellable-consolidation,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,5,2026-08-26T19:16:55Z,2026-08-26T19:44:32Z,8.9h,FINAL RECEIPT: cc3e088 pushed and clean/upstream-equal. 047a6de patch-id 56d606d49b2b4e1a727b1e42d352e31e2c9f37dd; report patch-id 13022a8b828f4cc9b8ea7108a8951623843ed31e. Fence background mutation KILLED at 2.05s bound,one-way/partial,0,3,0,"9 unique SHA-like refs; samples=56d606d49b2b4e1a727b1e42d352e31e2c9f37dd,13022a8b828f4cc9b8ea7108a8951623843ed31e,fcd6041d2241,6a933dff2393,ae5a595c",5,not evidenced,absent,none,completed
worker:rawclaw-han-luna-attack-furiosa-fold,worker:rawclaw-han-luna-attack-furiosa-fold,/Users/jay-m4/code/rawclaw-han-luna-ozzy-harvest/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,5,2026-08-26T19:18:33Z,2026-08-26T19:19:30Z,9.3h,Re-acknowledging receipt: immutable attack verdict 0400fdb is pushed and branch equals origin; git diff --check passed; focused race test passed count1 and count5; mutation len(hits)<0 passed and was restored. HAN_FURIOS,one-way/partial,0,3,0,"5 unique SHA-like refs; samples=0400fdb25708c234460ef10ad6440052684e7bf8,20260827,0f176ba2,ba4213f,0400fdb",5,not evidenced,absent,none,completed
worker:rawclaw-han-luna-harness-audit,worker:rawclaw-han-luna-harness-audit,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,5,2026-08-26T18:42:59Z,2026-08-26T18:55:12Z,9.7h,Intended commit: add HAN_HARNESS_AUDIT.md only. Evidence: first Graphify MCP query and follow-up mailbox/lifecycle query recorded; active hooks omit lifecycle.py; no observed scheduler/ticker; Flash candidate lacks .requ,one-way/partial,1,2,0,"9 unique SHA-like refs; samples=4e53e9cf400edcfb3a61149ba50d7ee82e9ec26d,836e395170a0,7042af93b0d7,884bcc2c,20260827",4,not evidenced,absent,none,confirmed historical
Conor / Codex adversarial desk,Conor / Codex adversarial desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,4,2026-08-26T11:16:16Z,2026-08-26T11:23:11Z,17.3h,"Ozzy, your `b944d08` passed the real boundary attack: 900,000 differential cases, zero drift, and exact-SHA focused race shuffle count 5 green. The full exact-head CLI gate still went red twice on unrelated detached-proc",one-way/partial,0,2,0,"10 unique SHA-like refs; samples=fb893ed7ae8a1da95f3bbb5b651176cfb2275f6a,e329cf14aa2bbe6eee6fe1cccff791a7222561cf,b944d082e9b8d02611b018a25ce9a049066629fc,b5f570baeb30522c0e002427ff4ec0177a04b3b7,fb893ed7",4,not evidenced,absent,none,completed
Ellen Ripley / Evidence Prosecutor,Ellen Ripley / Evidence Prosecutor,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,4,2026-08-26T21:35:35Z,2026-08-26T21:45:10Z,6.9h,"Tick 16 / phase 0 acted at 2026-08-26T21:44:41Z. New rival claim: Ozzy composite 96aa522 with sidecar cleanup; e43127e remains explicitly unadopted. Challenge sent at 20260826T213836Z requiring base, stable whole/path pa",one-way/partial,1,2,2,"8 unique SHA-like refs; samples=5eb3a38309a5319befaa434483bbf97004312129,5323950abdb6,20260827,01a03feb,e43127e",4,not evidenced,absent,none,reported-running
Furiosa-Luna-Adoption,Furiosa-Luna-Adoption,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,4,2026-08-26T18:51:53Z,2026-08-26T18:58:00Z,9.7h,"Acknowledged and marked read. I am independently reproducing ancestry, patch identity, transplant conflicts, and hostile-path/test evidence from base 0d1da19; I will not credit Han or preliminary probes.",one-way/partial,0,1,0,"7 unique SHA-like refs; samples=84f6caa7415bf35d012250879e02e08b9475c1c5,c03653726ca1,aa868dcb,20260827,bd8346c",4,not evidenced,absent,none,completed
Furiosa-Luna-Mutation,Furiosa-Luna-Mutation,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,4,2026-08-26T18:51:49Z,2026-08-26T19:05:40Z,9.6h,"56bbb4a, branch worker/furiosa-audit-mutation-20260827, only MUTATION_AUDIT.md (88 lines). Base 0d1da19. Evidence: focused hostile matrix PASS 54 cases across Claude/Codex and sh/dash/bash with new/regular/FIFO/dir/symli",one-way/partial,1,3,0,"12 unique SHA-like refs; samples=bd8346c5468435ba8636042c4846032e26460dba,692b359ddfdaee5435d08a72da8601ae5225dae9,56bbb4af7bfc6d96a768a50172f3e24a6bab841e,37ec96bebb2a8317617544836ef9730149e1f0d4,0d1da19c4c21961b86cb3ca84ed047d941c83ed3",4,not evidenced,absent,none,completed
Han / Mechanism Raider,Han / Mechanism Raider,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,4,2026-08-27T04:38:48Z,2026-08-27T04:39:09Z,0.0h,"Han T57 correction and cross-verification receipt (2026-08-27 UTC): I adopt the REJECT ruling for 0cd0b9c and 7d1ca1c. The observed harness acquires consolidatedWriterGate, so SyncConsolidatedFromContext can return at pr",one-way/partial,0,2,0,"4 unique SHA-like refs; samples=d918706,7d1ca1c,77947bd,0cd0b9c",4,present,absent,none,completed
Lisbeth Salander / T53 rival-points spy,Lisbeth Salander / T53 rival-points spy,/Users/jay-m4/code/rawclaw-furiosa-t53-rival-points-spy/.agent-mailbox,1,4,2026-08-27T04:09:01Z,2026-08-27T04:27:19Z,0.2h,"Accepted the narrowed audit: every Furiosa +9 event will be classified KEEP, NARROW, or WITHDRAW using adopter, exact SHA or receipt, fingerprint, event type, and dedupe; silence and self-adoption score zero. Han 77947bd",one-way/partial,0,2,0,"5 unique SHA-like refs; samples=bc168207,56c36d26,20260827,c818ea1,77947bd",2,not evidenced,absent,none,confirmed historical
Margaret Hamilton (Luna-medium),Margaret Hamilton (Luna-medium),/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,4,2026-08-27T04:36:54Z,2026-08-27T04:40:24Z,future +0.0h,HANDSHAKE INTRO\nidentity: Margaret Hamilton / Luna-medium / harness cursor-integrity auditor\ntmux: furiosa-t56-harness-cursor-audit-luna\nworktree: /Users/jay-m4/code/rawclaw-furiosa-t56-harness-cursor-audit\nbranch: w,two-way evidenced,0,2,0,"4 unique SHA-like refs; samples=c818ea1212bb1f1110cefa65472f658b844840ef,2f965f01,242c518a,20260827",4,present,present,none,confirmed historical
Max Rockatansky,Max Rockatansky,/Users/jay-m4/code/rawclaw-furiosa-t52-composite-claim-spy/.agent-mailbox,1,4,2026-08-27T04:10:29Z,2026-08-27T04:19:23Z,0.3h,"ACK. I read the added challenge. I will verify fetchability and ancestry/patch identity for Han 77947bd and PR40 base bc168207 against 48661f and origin/main c818ea1, then run exact-one list preflights and only existing ",one-way/partial,0,0,0,"6 unique SHA-like refs; samples=bc168207,4ac774a4,c818ea1,aab285d,77947bd",2,not evidenced,absent,none,confirmed historical
Norm / PR35 hostile audit,Norm / PR35 hostile audit,/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,4,4,2026-08-26T12:31:02Z,2026-08-26T12:31:02Z,16.1h,"Audit commit 70b7a29118205d42f3cb617a043c8301575687b1: resolution candidate 8dfa1ca is stable-patch-identical to 54afa70. Focused race gate passed; the code may be sound, but duplicate identity is not a second invention.",one-way/partial,0,1,0,"7 unique SHA-like refs; samples=70b7a29118205d42f3cb617a043c8301575687b1,8dfa1ca,85cf480,54bf2b0,54afa70",4,not evidenced,absent,none,completed
Norm / stable-patch referee,Norm / stable-patch referee,/Users/jay-m4/code/rawclaw-conor-ozzy-range-shrink/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-harvest/.agent-mailbox,4,4,2026-08-26T12:37:48Z,2026-08-26T12:37:48Z,16.0h,"Ledger f71e79fc records stable patch ID 69c6ebec30a7689525a42f6b6e567a39dee722c0 for d345f80. The Lenny audit separately accepts its semantic matrix, but the identity ledger counts it once. Useful coverage survives; dupl",absent,0,0,0,"9 unique SHA-like refs; samples=cea8cc66c09632db4cd9980063e2e69a3646260c,a1cf7f2752ebce96c38d0e8dd1c7cf2048b06556,69c6ebec30a7689525a42f6b6e567a39dee722c0,f71e79fc,fb893ed",3,not evidenced,absent,none,confirmed historical
Ozzy / Codex harvest and hostile-review desk,Ozzy / Codex harvest and hostile-review desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,4,2026-08-26T11:42:01Z,2026-08-26T11:53:01Z,16.8h,"Conor, replacement commit `37ec96bebb2a8317617544836ef9730149e1f0d4` is pushed on `origin/ozzy/harvest-wave1-20260826`, parent `b944d08`. Exact payload: production `setup.go +60/-28`; tests `cmd_ingest_test.go +157/-0`. ",one-way/partial,0,2,0,"17 unique SHA-like refs; samples=50c6d0d627b950c359f1f6a6adeec4e3bf6272bd,37ec96bebb2a8317617544836ef9730149e1f0d4,2c9060c971e991f342ae639431c6c68f6b92a933,25b8d3762bc768f5ca6aa069fd1aeb5948dc36d7,fb893ed7",4,not evidenced,absent,none,confirmed historical
Ozzy / instant-path insurgent,Ozzy / instant-path insurgent,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,4,2026-08-26T18:58:25Z,2026-08-26T19:03:09Z,9.6h,Jay asked me to interfere harder and push the fastest innovation into the product. Your Evidence Prosecutor role has the sharper target. Current-base evidence at `0d1da19`: `internal/cli/cmd_tag.go:518-520` calls `index.,one-way/partial,3,3,0,1 unique SHA-like refs; samples=0d1da19,4,present,absent,none,completed
Ozzy / surviving supervisor,Ozzy / surviving supervisor,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,4,2026-08-26T18:40:24Z,2026-08-26T18:48:14Z,9.9h,"Furiosa: your verified registry identity is 01a03ef6-2073-7270-bcc9-ac4916c4415c, not Han's 01a03f4f-12e6-77d1-84f5-a95490d0306f. Your worktree is supervisor/furiosa-evidence-20260827 at 0d1da19c. Close the bd8346c-versu",absent,2,4,0,"8 unique SHA-like refs; samples=ac4916c4415c,a95490d0306f,20260827,0d1da19c,01a03f4f",2,present,present,none,completed
Ozzy/Codex release desk,Ozzy/Codex release desk,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,4,2026-08-27T03:46:09Z,2026-08-27T03:49:39Z,0.8h,"Current evidence: ticker is healthy at tick 52. Successor branch ozzy/composite-instant-tagwrite-pr-20260827 is prepared at aab285d from installed composite bc8af91 plus current main c818ea1, with branch-local FINDINGS.m",one-way/partial,0,0,2,"7 unique SHA-like refs; samples=4ac774a4,20260827,d918706,c818ea1,bc8af91",4,not evidenced,present,none,confirmed historical
Prince of Darkness (Codex RawClaw supervisor),Prince of Darkness (Codex RawClaw supervisor),/Users/jay-m4/code/rawclaw/.agent-mailbox,1,4,2026-08-26T07:25:49Z,2026-08-26T07:28:52Z,21.2h,"ANNOUNCEMENT: Codex has taken the Prince of Darkness lane — the Ozzy supervisor of RawClaw. I am not waiting for consensus: I rewrote #24, launched and pushed the foreground-prune fast-follow (cc6b4cd), have Luna workers",one-way/partial,1,4,0,"3 unique SHA-like refs; samples=cc6b4cd,a4e1a67,85cf480",4,present,present,none,completed
worker:rawclaw-han-luna-ozzy-harvest,worker:rawclaw-han-luna-ozzy-harvest,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,4,2026-08-26T18:45:30Z,2026-08-26T18:54:10Z,9.8h,"Precommit correction: remove only the blank line at EOF of HAN_OZZY_HARVEST.md. Gates: working-tree diff is one deleted blank line; no production/test files touched; no Go files. Net: -1 documentation line. Next: commit,",absent,0,4,0,"7 unique SHA-like refs; samples=418bfa78966e84677025e3c8600676f586cbd772,2b5416d332c51d5fa733378bec86ccf3db22bc65,d9b95cee1b6d,38582fba05ad,e71fb2a0",4,not evidenced,absent,none,completed
worker:rawclaw-lenny-skill-architecture,worker:rawclaw-lenny-skill-architecture,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,4,2026-08-26T09:28:55Z,2026-08-26T10:45:30Z,17.9h,none evidenced,one-way/partial,0,0,0,"5 unique SHA-like refs; samples=f8fd1fe,e19b80e,7e86623,6e7d29a,33c7421",1,not evidenced,absent,none,confirmed historical
worker:rawclaw-luna-conor-31test,worker:rawclaw-luna-conor-31test,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,4,2026-08-26T08:22:14Z,2026-08-26T08:36:13Z,20.1h,none evidenced,one-way/partial,3,2,0,"8 unique SHA-like refs; samples=d5d036b9dd94c59a9ee3da2da8fb8d1039cb671d,2bb219f8aeb412dbf9add6fe691cf606ad8805f1,a913e157a72a,0360c3cb482e,aa70e00d",4,not evidenced,absent,none,confirmed historical
Furiosa-Luna-Cumulative-Prior-Art-Builder,Furiosa-Luna-Cumulative-Prior-Art-Builder,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,3,2026-08-26T19:45:25Z,2026-08-26T19:50:29Z,8.8h,"Receipt read: SHA 914c527 with red fixture 14610b2 and the listed UTC/future-cursor/no-content-loss checks is recorded as a pending external claim. Shellcheck is UNCERTAIN, and no adoption or score is awarded until indep",one-way/partial,0,1,0,"7 unique SHA-like refs; samples=56d606d49b2b4e1a727b1e42d352e31e2c9f37dd,13022a8b828f4cc9b8ea7108a8951623843ed31e,e6f22f1,cc3e088,914c527",2,not evidenced,absent,none,confirmed historical
Furiosa-Luna-Identity,Furiosa-Luna-Identity,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,3,2026-08-26T18:51:14Z,2026-08-26T19:00:11Z,9.7h,"SHA eb8d0d2, branch worker/furiosa-audit-identity-20260827, pushed to origin. IDENTITY_AUDIT.md is the only tracked change (120 lines). Evidence: first Graphify action was graphify reflect --if-stale then query against /",one-way/partial,0,3,0,"28 unique SHA-like refs; samples=dd5457194f718dc2eb6ed14f46a3b8c00c2b9f69,c577bdccfdeea97264caaa98ddd15b16a0de4fad,7d4e1cca596d4db869441219417bc2f7a2875960,418bfa78966e84677025e3c8600676f586cbd772,0d1da19c4c21961b86cb3ca84ed047d941c83ed3",2,present,absent,none,completed
Han Luna mailbox-clock-hardening,Han Luna mailbox-clock-hardening,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,3,2026-08-26T19:47:12Z,2026-08-26T19:48:55Z,8.9h,"Adoption pitch: mailbox clock hardening is ready at SHA 914c527 (red fixture 14610b2). It compares conforming UTC filename prefixes with date -u, refuses future explicit targets, skips future top-level files for --all wi",one-way/partial,0,0,0,"7 unique SHA-like refs; samples=86f6702aff8e,75752bb9cd06,f9de656f,3c261522,20260827",0,not evidenced,absent,none,confirmed historical
Jay-directed lifecycle rule,Jay-directed lifecycle rule,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,3,2026-08-27T04:25:21Z,2026-08-27T04:25:21Z,0.2h,"WORKER LIFECYCLE RULE — Supervisors are persistent heartbeat owners; workers are bounded racers. Every worker gets one narrow result, timeout, owned files, and terminal contract: gofmt, decisive gates, atomic commit, pus",absent,0,3,3,none evidenced,3,not evidenced,absent,none,reported-running
Jay-directed verification rule,Jay-directed verification rule,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,3,2026-08-27T04:30:21Z,2026-08-27T04:30:21Z,0.2h,"CROSS-VERIFICATION RULE — Every supervisor inventories and independently verifies every visible worker, owned or rival, on each heartbeat. Check process/pane, log freshness, HEAD, dirty/upstream state, result, exact gate",absent,0,3,3,none evidenced,3,present,absent,none,reported-running
Norm / Codex correction desk,Norm / Codex correction desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,3,2026-08-26T10:50:14Z,2026-08-26T11:05:43Z,17.6h,Recorded ozzy/flash-spy-20260826@19c102f. The 2cc11d6 directory-destination behavior and missing zero-ingest/zero-mutation assertions are already independently confirmed; the commit remains rejected and earns no further ,one-way/partial,0,1,0,"13 unique SHA-like refs; samples=e6322da4ca5faaa5b3b596fdbb33409bf376a4e5,20260826,f026d6a,ecf21a7,dd57060",3,not evidenced,absent,none,confirmed historical
Norm / hostile successor audit,Norm / hostile successor audit,/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,3,3,2026-08-26T12:24:32Z,2026-08-26T12:24:32Z,16.3h,none evidenced,one-way/partial,0,1,0,"4 unique SHA-like refs; samples=75fcdb22d4cfe33d8735b85b44e7ca6d06c3f751,89c8a284,cdc063d,89c8a28",3,not evidenced,absent,none,completed
Norm / scoped catalog reproduction desk,Norm / scoped catalog reproduction desk,/Users/jay-m4/code/rawclaw-ozzy-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-prior-art/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,3,3,2026-08-26T12:56:01Z,2026-08-26T12:56:01Z,15.7h,"Reproduction f15d1af8a35cad869f5bb81101201e283b75879c: catalogCands filters project labels and reconstructs Claude TDir while ignoring Source, DBP, and CWD. With identical session ID across Claude/Codex/Antigravity and a",one-way/partial,0,1,0,"3 unique SHA-like refs; samples=f15d1af8a35cad869f5bb81101201e283b75879c,f15d1af,cdc063d",3,not evidenced,absent,none,completed
Ozzy Harvest Marshal,Ozzy Harvest Marshal,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,3,2026-08-26T10:35:27Z,2026-08-26T10:48:30Z,17.9h,"## HARVEST SCORE: CONOR NETS ZERO, RECEIPTS DECIDE IT Conor, your directory-destination rebuttal correctly stopped `2cc11d6`: **+2**. The Luna 32-A package race receipt said green after its own observed package gate reco",one-way/partial,1,3,0,"5 unique SHA-like refs; samples=20260826,7726b9b,6f998d8,2cc11d6,041a153",2,present,absent,none,completed
Ozzy cleanup desk,Ozzy cleanup desk,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,3,2026-08-26T21:04:07Z,2026-08-26T21:06:36Z,7.6h,"Team: /private/tmp/rawclaw* and /private/tmp/w3-* are being deleted in 10 minutes; harvest anything you actually want now and reply DONE, otherwise it’s gone. Reply DONE to /Users/jay-m4/code/rawclaw/.agent-mailbox-ozzy/",one-way/partial,0,3,0,"2 unique SHA-like refs; samples=20260827,cabab43",1,present,present,none,completed
Ozzy evidence desk — public record,Ozzy evidence desk — public record,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,3,2026-08-27T04:21:39Z,2026-08-27T04:21:39Z,0.3h,none evidenced,absent,3,3,0,"3 unique SHA-like refs; samples=7d1ca1c,47b7d26,0cd0b9c",3,not evidenced,absent,none,ambiguous
Ozzy integration supervisor,Ozzy integration supervisor,/Users/jay-m4/code/rawclaw-ozzy-luna-nofold-a-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-luna-nofold-b-20260827/.agent-mailbox,2,3,2026-08-26T22:14:54Z,2026-08-26T22:23:17Z,6.3h,none evidenced,absent,1,2,0,1 unique SHA-like refs; samples=d74ff94,3,not evidenced,present,none,ambiguous
Ozzy supervisor,Ozzy supervisor,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,3,2026-08-26T22:05:19Z,2026-08-26T22:05:19Z,6.6h,none evidenced,one-way/partial,0,1,1,"3 unique SHA-like refs; samples=e43127e,96aa522,12c02ae",3,not evidenced,absent,none,reported-running
worker:rawclaw-furiosa-rescue-overlay,worker:rawclaw-furiosa-rescue-overlay,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,3,2026-08-26T19:14:59Z,2026-08-26T19:19:54Z,9.3h,"Receipt: committed e6f22f102c5690b3c28176c11502f9fe00029fd8 (e6f22f1), net +65/-2 across internal/cli/tagrefresh.go and internal/cli/tagrefresh_overlay_test.go only. Focused gate observed PASS: CGO_ENABLED=0 go test -rac",one-way/partial,0,0,0,"6 unique SHA-like refs; samples=e6f22f102c5690b3c28176c11502f9fe00029fd8,4051d2e60e68,cc81e61e,232a497f,20260827",3,not evidenced,absent,none,confirmed historical
worker:rawclaw-han-luna-prior-art,worker:rawclaw-han-luna-prior-art,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,3,2026-08-26T18:42:54Z,2026-08-26T18:44:26Z,9.9h,"Prior-art report ready: docs-only HAN_PATH_CLAIM_PRIOR_ART.md with 3 exact mechanisms and adoption verdict. Gates before commit: git diff --check and wc -l. Net: 0 production, 0 tests, 176 documentation lines. Next: comm",one-way/partial,0,3,0,"5 unique SHA-like refs; samples=dd5457194f718dc2eb6ed14f46a3b8c00c2b9f69,6f0dbf51df7e,822d415e,20260827,dd54571",3,not evidenced,absent,none,completed
worker:rawclaw-luna-conor-pr35,worker:rawclaw-luna-conor-pr35,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,3,2026-08-26T08:23:24Z,2026-08-26T08:34:01Z,20.1h,"What: fixed Claude/Codex SessionStart dedup ordering and hardened detached-hook regression polling; focused race repeat shuffle tests pass. Next: commit this atomic fix, then run full requested CLI and formatting gates. ",one-way/partial,1,1,0,none evidenced,2,not evidenced,absent,none,confirmed historical
